onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	12	stimulus_shape	000000000000000000000000000000000000000000000000000011110000000011110000000011110000000011110000000000000000000000000000000000000000000000000000
40	12	rest	null
52	12	stimulus_shape	000000000000000000000000000000000000000000000000000011110000000010010000000010010000000011110000000000000000000000000000000000000000000000000000
64	12	rest	null
76	12	stimulus_shape	000000000000000000000000000001100000000001100000000001100000001111111100001111111100000001100000000001100000000001100000000000000000000000000000
88	12	rest	null
100	12	stimulus_shape	000000000000000000000000001100001100001110011100000111111000000011110000000011110000000111111000001110011100001100001100000000000000000000000000
112	12	rest	null
124	12	stimulus_shape	000000000000000000000000001111111100001111111100001100001100001100001100001100001100001100001100001111111100001111111100000000000000000000000000
136	12	rest	null
148	12	stimulus_shape	000000000000000000000000000000000000000000000000000011110000000010010000000010010000000011110000000000000000000000000000000000000000000000000000
160	12	rest	null
172	12	stimulus_shape	000000000000000000000000001100001100001110011100000111111000000011110000000011110000000111111000001110011100001100001100000000000000000000000000
184	12	rest	null
196	12	stimulus_shape	000000000000000000000000000000000000000000000000000011110000000011110000000011110000000011110000000000000000000000000000000000000000000000000000
208	12	rest	null
220	12	stimulus_shape	000000000000000000000000001111111100001111111100001100001100001100001100001100001100001100001100001111111100001111111100000000000000000000000000
232	12	rest	null
244	12	stimulus_shape	000000000000000000000000000001100000000001100000000001100000001111111100001111111100000001100000000001100000000001100000000000000000000000000000
256	12	rest	null
