onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	12	stimulus_alphabet_long	000000000000000000000000000111111000000111111000000110011000000110011000000110011000000110011000000110011000000110011000000000000000000000000000
40	12	rest	null
52	12	stimulus_alphabet_long	000000000000000000000000000111111000000111111000000110011000000110011000000111111000000110000000000110000000000111111000000000000000000000000000
64	12	rest	null
76	12	stimulus_alphabet_long	000000000000000000000000000110011000000110011000000110011000000110011000000110011000000110011000000111111000000111111000000000000000000000000000
88	12	rest	null
100	12	stimulus_alphabet_long	000000000000000000000000000111111000000111111000000110000000000110000000000110000000000110000000000110000000000110000000000000000000000000000000
112	12	rest	null
124	12	stimulus_alphabet_long	000000000000000000000000000111111000000111111000000110011000000110011000000110011000000110011000000111111000000111111000000000000000000000000000
136	12	rest	null
148	12	stimulus_alphabet_long	000000000000000000000000000110011000000110011000000110011000000110011000000110011000000110011000000111111000000111111000000000000000000000000000
160	12	rest	null
172	12	stimulus_alphabet_long	000000000000000000000000000111111000000111111000000110011000000110011000000110011000000110011000000111111000000111111000000000000000000000000000
184	12	rest	null
196	12	stimulus_alphabet_long	000000000000000000000000000111111000000111111000000110000000000110000000000110000000000110000000000110000000000110000000000000000000000000000000
208	12	rest	null
220	12	stimulus_alphabet_long	000000000000000000000000000111111000000111111000000110011000000110011000000110011000000110011000000110011000000110011000000000000000000000000000
232	12	rest	null
244	12	stimulus_alphabet_long	000000000000000000000000000111111000000111111000000110011000000110011000000111111000000110000000000110000000000111111000000000000000000000000000
256	12	rest	null
