onset	duration	trial_type	stimulus_pattern
0	28	rest	null
28	6	stimulus_random	001010111001001000100100111110000010000010011010100000011010010111000110111101111111000000001100000110101101010001001101110111100000000010001110
34	6	rest	null
40	6	stimulus_random	110100111110110001100001111010110000110100100000101010100001100111000001000100010101101111001000111010101111011100011000000000111100011111100110
46	6	rest	null
52	6	stimulus_random	011111101001101111011000011000010000110010110010010111000010101001111000000001101001001000000110110101000000101110010110001111110110101000000101
58	6	rest	null
64	6	stimulus_random	101001100000110111000100111000010101011011101010110011011000000110000000110101000110110001110010011110110110100001001111011000000001011110100011
70	6	rest	null
76	6	stimulus_random	000100100011010011011100110110010111110010011001001011111001111100100011101011100011101110100011110110110100100000010100011011000001111110101010
82	6	rest	null
88	6	stimulus_random	101111100000101011001000100100100111011000100010011110100010111010101010110100000111001011101111010000000110101011111111100011011001110011000101
94	6	rest	null
100	6	stimulus_random	101000101110101111011000110111001100101011111100101101001110100010011100110111010111011010110101010000011010001011110001010011111000100001110010
106	6	rest	null
112	6	stimulus_random	000110000010000010110100110010111001000000010110101101101101010011000011101011101111101101100010100011011100100011110001101001111101000100101011
118	6	rest	null
124	6	stimulus_random	111101110100111000011110111010011000011101111000000100101001101101000010010110100000100000011101100111010111010001100001011100101101000111011101
130	6	rest	null
136	6	stimulus_random	101110011000111111011000000011100010000101100011000011100011101110100101001110101101010101010000011101000010011011110001110100111010101111011001
142	6	rest	null
148	6	stimulus_random	111000110010010111111010010110101011101010011100001000000010010111100000011111110100100011110110010110010010101110011101100100010111000011010000
154	6	rest	null
160	6	stimulus_random	011001010101100101111101110110000010011011111001110011101001100011010100110110111100011111111010101110000010010010000000101111010000101010100000
166	6	rest	null
172	6	stimulus_random	111000001100011110001001001100110100010110011001001101101001101001001111110010101011001010100111101010110011101111011001010011011000111111011101
178	6	rest	null
184	6	stimulus_random	010111101011100001100010001101111001110110000111110001100100000101101011011001111101010110100101000100010101001111100110101000011101000000010011
190	6	rest	null
196	6	stimulus_random	010111011011011010100011111100100000010110000001001001001101111100011001011000011011000100010110001001001100101101100010100101100110100100110101
202	6	rest	null
208	6	stimulus_random	101101001010111101101110010100110011001011110101111100100001110000010001000100111011000000000010100001100100110001111111111100100101001000100000
214	6	rest	null
220	6	stimulus_random	110100000000100110011011101110101110100000000011100011001110110101111000101100111010011110011101011100011111100111110100010100001110101110000011
226	6	rest	null
232	6	stimulus_random	010011000011001010000000001011000110100101011010000000001001010100110100110110111100011111101000000001101101100011011110010000110000101101011000
238	6	rest	null
244	6	stimulus_random	111111001011100100001101011001111010000011011000110101101100100010111101101011000110110110011110101101110100110001010000110011110001001100011111
250	6	rest	null
256	6	stimulus_random	001010010110000111011001101110100100011100110001100010001100011101100111101000011010101000000010010100011101110111001000001001110100000011011010
262	6	rest	null
268	6	stimulus_random	101100110101111001110000011011001000111100110010000001110111110111110000011100110100001111000101010101000100100101111000011110011110110100001110
274	6	rest	null
280	6	stimulus_random	000100111010000001011111011110010001111001110001110011001101000111100001010000010110011111000010000001000101100000010011001100101110110010010001
286	12	rest	null
